Sr. No,Code,Employee Name,Designation,Department,Join Date,Monthly CTC,Annual CTC
1,BOM043,Employee_1,Junior Manager,Operations,02-09-2017,35030,420360
2,BOM063,Employee_3,Senior Executive,Operations,11-12-2017,34042,408504
3,BOM069,Employee_4,Senior Executive,Operations,01-01-2018,42150,505800
4,BOM056,Employee_10,Executive,Finance & Admin,13-03-2018,17856,214272
5,BOM145,Employee_13,Senior Executive,Operations,06-07-2018,48000,576000
6,BOM149,Employee_15,Executive,D2C,01-07-2018,35000,420000
7,BOM187,Employee_20,Executive,Operations,01-01-2019,22980,275760
8,BOM190,Employee_21,General Manager,Management,11-02-2019,216667,2600004
9,BOM198,Employee_25,VP,Marketing,15-04-2019,416667,5000004
10,BOM203,Employee_26,Manager,Marketing,02-05-2019,55000,660000
11,BOM207,Employee_27,Executive,Marketplace,12-06-2019,30422,365064
12,BOM208,Employee_28,Senior Manager,Finance & Admin,01-06-2019,83844,1006128
13,BOM216,Employee_31,Executive,Marketing,13-08-2019,27000,324000
14,BOM217,Employee_32,Executive,Marketplace,19-08-2019,27882,334584
15,BOM220,Employee_33,Senior Manager,Product,03-09-2019,141667,1700004
16,BOM225,Employee_35,Executive,D2C,29-10-2019,24000,288000
17,BOM227,Employee_36,Executive,D2C,14-10-2019,26508,318096
18,BOM228,Employee_37,Senior Manager,D2C,14-10-2019,141667,1700004
19,BOM232,Employee_38,Senior Manager,D2C,17-10-2019,114584,1375008
20,BOM237,Employee_39,Executive,Operations,15-11-2019,18712,224544
21,BOM246,Employee_42,Senior Manager,D2C,24-12-2019,120834,1450008
22,BOM256,Employee_46,Senior Manager,Product,01-03-2020,100000,1200000
23,BOM267,Employee_51,Executive,D2C,30-03-2020,26950,323400
24,BOM270,Employee_52,VP,Marketplace,09-04-2020,345834,4150008
25,BOM272,Employee_54,Executive,D2C,06-05-2020,32950,395400
26,BOM273,Employee_55,Executive,D2C,06-05-2020,23973,287676
27,BOM277,Employee_56,Junior Manager,Marketing,01-06-2020,45000,540000
28,BOM281,Employee_57,General Manager,Marketing,29-06-2020,208335,2500020
29,BOM287,Employee_58,Executive,Finance & Admin,13-07-2020,30000,360000
30,BOM290,Employee_60,Senior Manager,Finance & Admin,03-08-2020,158334,1900008
31,BOM294,Employee_63,Manager,Marketplace,18-08-2020,141667,1700004
32,BOM295,Employee_64,General Manager,Product,17-08-2020,195834,2350008
33,BOM296,Employee_65,Junior Manager,Operations,01-09-2020,50000,600000
34,BOM298,Employee_66,Manager,D2C,04-09-2020,45835,550020
35,BOM299,Employee_67,CXO,D2C,04-09-2020,258334,3100008
36,BOM301,Employee_69,Executive,Operations,10-09-2020,22757,273084
37,BOM302,Employee_70,Senior Manager,Marketing,16-09-2020,87500,1050000
38,BOM303,Employee_71,Executive,Finance & Admin,24-09-2020,20001,240012
39,BOM304,Employee_72,Senior Executive,Operations,01-09-2020,37950,455400
40,BOM305,Employee_73,Executive,Operations,05-10-2020,30000,360000
41,BOM306,Employee_74,VP,Product,05-10-2020,375000,4500000
